,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
400,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008,1060391,1998
401,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017,943819,1989
402,RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000,315213,1948
403,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1985,1024478,1903
404,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018,84839,1948
405,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",2009,882835,1981
406,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009,745732,1982
407,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014,884887,1997
408,SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1957,64040,1917
409,CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008,1108524,1999
410,SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",2017,1034054,1989
411,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1957,87347,1926
412,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012,1137789,1979
413,SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina",1957,1012100,1960
414,SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",2001,1032208,1998
415,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019,1373715,2003
416,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964,89800,1866
417,SBNY,Signature Bank,Financials,Regional Banks,"New York City, New York",2021,1288784,2001
418,SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002,1063761,2003
419,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015,4127,2002
420,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008,91419,1897
421,SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982,91440,1920
422,SEDG,SolarEdge,Information Technology,Semiconductor Equipment,"Herzliya, Israel",2021,1419612,2006
423,SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957,92122,1945
424,LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1994,92380,1967
425,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",1982,93556,1843
426,SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000,829224,1971
427,STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",2003,93751,1792
428,STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2022,1022671,1993
429,STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019,1757898,1985
430,SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000,310764,1941
431,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018,719739,1983
432,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015,1601712,2003
433,SNPS,Synopsys,Information Technology,Application Software,"Mountain View, California",2017,883241,1986
434,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986,96021,1969
435,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019,1283699,1994
437,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018,946581,1993
438,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2004,1116132,2017
439,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022,1389170,2005
440,TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976,27419,1902
441,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011,1385157,2007
442,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2020,1094285,1960
